         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:243(VersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2559(Distribution)
       74    0.000    0.000    0.003    0.000 __init__.py:2563(__init__)
       74    0.000    0.000    0.004    0.000 __init__.py:2576(from_location)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
       74    0.000    0.000    0.000    0.000 __init__.py:2593(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
      259    0.000    0.000    0.000    0.000 __init__.py:2635(key)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:275(ContextualVersionConflict)
       38    0.000    0.000    0.002    0.000 __init__.py:2763(_get_metadata)
       37    0.000    0.000    0.009    0.000 __init__.py:2774(activate)
      113    0.000    0.000    0.000    0.000 __init__.py:2810(__getattr__)
       37    0.000    0.000    0.001    0.000 __init__.py:2865(insert_on)
        1    0.000    0.000    0.000    0.000 __init__.py:288(DistributionNotFound)
       37    0.000    0.000    0.000    0.000 __init__.py:2891(<listcomp>)
        3    0.000    0.000    0.026    0.009 __init__.py:29(load_module)
        1    0.000    0.000    0.000    0.000 __init__.py:2976(EggInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:2995(DistInfoDistribution)
        1    0.000    0.000    0.013    0.013 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3087(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:3091(Requirement)
       17    0.000    0.000    0.000    0.000 __init__.py:3143(_always_object)
        1    0.000    0.000    0.000    0.000 __init__.py:315(UnknownExtra)
       17    0.000    0.000    0.000    0.000 __init__.py:3153(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        2    0.000    0.000    0.048    0.024 __init__.py:3225(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3230(_initialize)
       14    0.000    0.000    0.000    0.000 __init__.py:3235(<genexpr>)
        1    0.000    0.000    0.048    0.048 __init__.py:3242(_initialize_master_working_set)
       38    0.000    0.000    0.009    0.000 __init__.py:3268(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:327(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:3282(PkgResourcesDeprecationWarning)
        4    0.000    0.000    0.000    0.000 __init__.py:329(register_loader_type)
        1    0.000    0.000    0.000    0.000 __init__.py:339(get_provider)
        5    0.000    0.000    0.004    0.001 __init__.py:340(__init__)
       54    0.003    0.000    0.008    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.002    0.002 __init__.py:372(get_build_platform)
        5    0.000    0.000    0.000    0.000 __init__.py:376(_FuncPtr)
      180    0.000    0.000    0.001    0.000 __init__.py:392(__getattr__)
      180    0.001    0.000    0.001    0.000 __init__.py:399(__getitem__)
        2    0.000    0.000    0.010    0.005 __init__.py:4(<module>)
        2    0.000    0.000    0.020    0.010 __init__.py:40(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:405(PyDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:414(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:418(__init__)
      256    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:423(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:424(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:436(OleDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:445(LibraryLoader)
        5    0.000    0.000    0.000    0.000 __init__.py:446(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:449(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:469(StringTemplateStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
        1    0.000    0.000    0.000    0.000 __init__.py:487(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:508(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
        3    0.000    0.000    0.026    0.009 __init__.py:51(create_module)
        3    0.000    0.000    0.000    0.000 __init__.py:510(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:510(IResourceProvider)
